127.0.0.1 - - [13/May/2024:22:19:21 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/css/img.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/css/style.css HTTP/1.1" 200 14876
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 166388
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/js/main.js HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:23 +0900] "GET /resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [13/May/2024:22:19:24 +0900] "GET /resources/img/carousel-2.jpg HTTP/1.1" 200 93141
0:0:0:0:0:0:0:1 - - [13/May/2024:22:24:24 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [13/May/2024:22:24:24 +0900] "GET /tourismIntroduction HTTP/1.1" 200 6
