127.0.0.1 - - [21/May/2024:12:15:53 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/css/img.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/css/style.css HTTP/1.1" 200 15353
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 166388
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/js/main.js HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:54 +0900] "GET /resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/May/2024:12:15:55 +0900] "GET /resources/img/carousel-2.jpg HTTP/1.1" 200 93141
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 166388
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/css/img.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/css/style.css HTTP/1.1" 200 15353
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/js/main.js HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/img/carousel-2.jpg HTTP/1.1" 200 93141
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:22 +0900] "GET /resources/img/yeo-su.jpg HTTP/1.1" 200 427133
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:23 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:24 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:28 +0900] "GET /index.html HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/May/2024:12:29:33 +0900] "GET /tourismIntroduction HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [21/May/2024:12:34:33 +0900] "GET / HTTP/1.1" 200 19198
